#{"t_start": 1720746578.4567366, "env_id": "None"}
r,l,t
-1500.0,3000,60.260899
-1500.0,3000,62.640182
-1500.0,3000,65.016696
-1500.0,3000,67.38418
-1500.0,3000,69.76707
-330.0,3000,99.025481
-330.0,3000,101.417998
-180.0,3000,103.813907
0.0,3000,106.206348
-420.0,3000,108.597299
-30.0,3000,145.831449
-330.0,3000,148.180599
-510.0,3000,150.522377
-270.0,3000,152.873992
-180.0,3000,155.227014
-180.0,3000,183.875229
-360.0,3000,186.223895
-120.0,3000,188.56327
-420.0,3000,190.901201
-270.0,3000,193.241215
-270.0,3000,229.59404
-240.0,3000,231.944229
0.0,3000,234.29471
-270.0,3000,236.642943
-240.0,3000,239.000804
-60.0,3000,267.930732
-90.0,3000,270.291072
-120.0,3000,272.638159
-480.0,3000,274.983397
-240.0,3000,277.327204
-270.0,3000,313.886889
-420.0,3000,316.23907
-210.0,3000,318.586786
-480.0,3000,320.933859
-150.0,3000,323.289945
-330.0,3000,351.950332
-180.0,3000,354.30468
-90.0,3000,356.654323
-360.0,3000,359.000772
-30.0,3000,361.355257
-360.0,3000,389.991182
150.0,3000,392.328918
-180.0,3000,394.680164
-120.0,3000,397.024577
-450.0,3000,399.364687
-450.0,3000,436.256585
-180.0,3000,438.647227
-270.0,3000,441.030916
-420.0,3000,443.411929
-270.0,3000,445.79709
-480.0,3000,474.863427
-390.0,3000,477.203151
-300.0,3000,479.551031
-360.0,3000,481.893383
-300.0,3000,484.226267
-150.0,3000,521.1596
-120.0,3000,523.54181
-420.0,3000,525.927207
-210.0,3000,528.310292
-180.0,3000,530.693652
-180.0,3000,559.75597
-120.0,3000,562.124798
-450.0,3000,564.489769
-330.0,3000,566.863152
150.0,3000,569.235261
-180.0,3000,606.340817
-150.0,3000,608.728194
-390.0,3000,611.111818
-360.0,3000,613.490376
-270.0,3000,615.874187
-390.0,3000,644.85996
-390.0,3000,647.239483
-240.0,3000,649.626664
-60.0,3000,652.011652
-240.0,3000,654.401154
-90.0,3000,691.93277
-300.0,3000,694.320817
-30.0,3000,696.689733
-270.0,3000,699.058652
-480.0,3000,701.434711
