#{"t_start": 1722968453.364001, "env_id": "None"}
r,l,t
-500.0,1000,4.101743
-440.0,1000,8.092137
-470.0,1000,80.321085
-410.0,1000,84.122371
-380.0,1000,155.08142
-470.0,1000,160.348449
-440.0,1000,292.386721
-380.0,1000,298.31134
-470.0,1000,376.053228
-410.0,1000,380.121998
-410.0,1000,503.580906
-470.0,1000,508.443546
-470.0,1000,589.624355
-380.0,1000,593.930058
-440.0,1000,681.290536
-440.0,1000,685.29328
-440.0,1000,760.844184
-410.0,1000,764.663879
-440.0,1000,836.091417
-350.0,1000,840.034042
-410.0,1000,915.64644
-350.0,1000,919.985651
-320.0,1000,1004.32112
-380.0,1000,1009.165519
-350.0,1000,1089.072508
-380.0,1000,1093.950072
-320.0,1000,1174.475374
-320.0,1000,1179.040263
-410.0,1000,1255.736605
-440.0,1000,1259.736769
-260.0,1000,1337.139877
-500.0,1000,1341.150513
-380.0,1000,1434.91048
-350.0,1000,1439.252933
-350.0,1000,1523.951878
-410.0,1000,1528.464368
-320.0,1000,1604.385461
-380.0,1000,1608.601988
-380.0,1000,1683.282348
-350.0,1000,1688.38953
-470.0,1000,1769.698765
-470.0,1000,1775.612948
-380.0,1000,1781.203803
-290.0,1000,1862.737792
-320.0,1000,1866.606043
-320.0,1000,1948.762052
-350.0,1000,1953.673436
-410.0,1000,2034.406766
-380.0,1000,2038.48246
-290.0,1000,2135.43218
-380.0,1000,2140.14912
-320.0,1000,2225.711474
-440.0,1000,2232.596915
-380.0,1000,2325.312368
-380.0,1000,2330.176657
-410.0,1000,2403.454063
-380.0,1000,2407.357104
-410.0,1000,2488.788393
-410.0,1000,2494.179192
-320.0,1000,2576.025133
-440.0,1000,2580.543616
-410.0,1000,2671.94362
-320.0,1000,2676.464656
-230.0,1000,2786.664472
-290.0,1000,2791.183394
-290.0,1000,2867.53177
-410.0,1000,2871.445794
-290.0,1000,2976.042577
-380.0,1000,2981.344917
-260.0,1000,3055.006186
-260.0,1000,3058.968981
-200.0,1000,3130.443291
-350.0,1000,3136.990755
-230.0,1000,3211.099589
-260.0,1000,3214.967977
-380.0,1000,3286.286206
-290.0,1000,3290.125628
-380.0,1000,3361.796521
-320.0,1000,3365.433182
-410.0,1000,3435.608178
-440.0,1000,3439.986572
-260.0,1000,3509.375825
-320.0,1000,3513.60495
-380.0,1000,3583.436545
-230.0,1000,3587.259702
-320.0,1000,3591.020609
-350.0,1000,3662.065858
-290.0,1000,3666.080274
-350.0,1000,3735.447162
-230.0,1000,3739.425701
-260.0,1000,3809.289295
-380.0,1000,3813.012703
-410.0,1000,3883.280307
-410.0,1000,3887.300398
-350.0,1000,3958.143847
-320.0,1000,3961.884506
-380.0,1000,4031.481853
-440.0,1000,4035.677843
-380.0,1000,4105.033256
-290.0,1000,4108.916356
-440.0,1000,4181.55155
-260.0,1000,4185.410897
-350.0,1000,4257.995777
-350.0,1000,4261.803702
-440.0,1000,4332.150844
-320.0,1000,4335.981804
-380.0,1000,4406.509586
-380.0,1000,4410.536398
-380.0,1000,4481.070505
-410.0,1000,4485.661202
-320.0,1000,4557.401608
-380.0,1000,4561.750683
-260.0,1000,4632.162571
-290.0,1000,4636.193069
-290.0,1000,4731.037446
-320.0,1000,4735.706018
-320.0,1000,4807.376658
-350.0,1000,4811.489541
-320.0,1000,4881.045809
-200.0,1000,4885.085629
-320.0,1000,4961.969286
-290.0,1000,4968.797081
-320.0,1000,5051.93133
-380.0,1000,5056.63547
-350.0,1000,5127.034993
-320.0,1000,5132.080328
-260.0,1000,5215.453535
-350.0,1000,5219.952668
-350.0,1000,5224.583676
-440.0,1000,5299.991967
-350.0,1000,5303.894932
-290.0,1000,5378.274443
-260.0,1000,5383.388975
-440.0,1000,5469.859086
-320.0,1000,5476.897372
-440.0,1000,5614.559627
-410.0,1000,5630.436899
-380.0,1000,5814.732647
-380.0,1000,5823.472351
-320.0,1000,5924.344406
-380.0,1000,5928.993933
-380.0,1000,6002.810613
-410.0,1000,6006.924199
-440.0,1000,6086.913409
-410.0,1000,6091.122307
-440.0,1000,6168.081092
-410.0,1000,6172.224579
-440.0,1000,6246.141519
-350.0,1000,6250.2759
-380.0,1000,6322.996332
-350.0,1000,6330.620942
-380.0,1000,6404.47447
-350.0,1000,6408.426486
-320.0,1000,6490.504581
-440.0,1000,6494.692299
-380.0,1000,6564.048135
-350.0,1000,6567.984144
-410.0,1000,6675.671764
-350.0,1000,6681.989417
-320.0,1000,6753.041214
-350.0,1000,6756.910916
-410.0,1000,6825.279466
-380.0,1000,6828.978424
-410.0,1000,6895.246719
-320.0,1000,6899.234762
-320.0,1000,6967.351884
-260.0,1000,6971.37082
-380.0,1000,7039.305847
-320.0,1000,7043.269582
-350.0,1000,7111.783643
-350.0,1000,7115.60548
-410.0,1000,7120.014917
-350.0,1000,7189.024596
-410.0,1000,7192.726672
-260.0,1000,7260.502618
-290.0,1000,7264.469887
-350.0,1000,7333.043973
-440.0,1000,7336.819611
-200.0,1000,7405.255522
-380.0,1000,7409.341586
-470.0,1000,7478.802702
-440.0,1000,7482.581213
-350.0,1000,7551.625326
-350.0,1000,7555.899525
-350.0,1000,7624.297345
-440.0,1000,7628.267929
-350.0,1000,7698.06921
-350.0,1000,7701.938777
-380.0,1000,7770.30895
-410.0,1000,7774.1021
-380.0,1000,7850.556217
-440.0,1000,7854.539199
-260.0,1000,7922.772281
-410.0,1000,7926.771499
-380.0,1000,7995.950655
-470.0,1000,7999.804175
-470.0,1000,8069.382539
-470.0,1000,8073.599514
-440.0,1000,8143.113723
-410.0,1000,8146.744055
-440.0,1000,8215.424861
-200.0,1000,8219.478038
-350.0,1000,8286.984721
-290.0,1000,8290.577727
-380.0,1000,8367.647309
-380.0,1000,8372.474835
-410.0,1000,8449.302079
-440.0,1000,8453.256536
-440.0,1000,8529.468584
-470.0,1000,8534.043069
-440.0,1000,8612.375702
-410.0,1000,8616.965657
-320.0,1000,8694.51506
-350.0,1000,8698.371456
-500.0,1000,8702.349378
-350.0,1000,8772.948074
-350.0,1000,8776.814795
-290.0,1000,8853.677882
-380.0,1000,8859.035817
-410.0,1000,8936.43879
-440.0,1000,8940.373241
-410.0,1000,9017.727461
-290.0,1000,9022.085894
-350.0,1000,9103.505767
-320.0,1000,9107.566524
-470.0,1000,9201.150008
-350.0,1000,9205.306586
-350.0,1000,9280.361192
-410.0,1000,9285.632336
-380.0,1000,9364.19858
-440.0,1000,9368.82281
-440.0,1000,9487.843263
-440.0,1000,9492.671796
-350.0,1000,9579.512446
-410.0,1000,9583.504304
-320.0,1000,9658.273593
-440.0,1000,9663.019509
-350.0,1000,9736.518405
-380.0,1000,9741.009172
-380.0,1000,9822.208682
-320.0,1000,9826.635133
-380.0,1000,9917.71214
-320.0,1000,9922.044369
-380.0,1000,10001.557236
-440.0,1000,10006.076891
-350.0,1000,10086.100942
-380.0,1000,10090.837137
