#{"t_start": 1721040898.473013, "env_id": "None"}
r,l,t
-96.0,621,156.263022
-77.5,557,157.825281
-89.0,405,158.966541
-87.5,513,160.40519
-48.5,1588,164.841558
-100.0,278,317.656993
26.5,3000,326.085903
-37.0,3000,334.504487
-67.5,610,336.217757
28.0,3000,344.634375
38.5,3000,558.591356
-76.5,663,560.446461
37.5,3000,568.834089
46.5,3000,577.208081
-77.5,572,578.804914
17.5,3000,737.839962
7.0,3000,746.238358
37.5,3000,754.628047
37.5,3000,763.018406
-26.5,3000,771.419411
-5.0,3000,981.338224
16.5,3000,989.80972
37.5,3000,998.27947
27.0,3000,1006.738992
27.0,3000,1015.199579
-14.0,3000,1174.277984
-4.0,3000,1182.688308
6.5,3000,1191.091499
17.0,3000,1199.497943
6.5,3000,1207.897699
-46.0,3000,1420.740259
-14.5,3000,1429.134723
7.5,3000,1437.536826
37.5,3000,1445.935479
37.5,3000,1454.358463
7.0,3000,1615.157943
-24.5,3000,1623.757677
48.0,3000,1632.38604
37.5,3000,1640.960145
4.5,3000,1649.533416
-16.5,3000,1808.504993
-77.5,544,1810.047685
-86.0,713,1812.072639
48.0,3000,1820.597048
28.0,3000,1829.119726
16.0,3000,2044.771798
26.5,3000,2053.259888
28.0,3000,2061.771861
16.0,3000,2070.28231
28.0,3000,2078.782538
-15.0,3000,2241.29247
16.5,3000,2249.875435
13.0,3000,2258.483955
-49.0,547,2260.049679
-66.5,731,2262.141937
-58.0,579,2467.969524
-35.0,3000,2476.458782
27.0,3000,2484.956661
36.5,3000,2493.434956
27.0,3000,2501.919497
-77.0,629,2654.381743
17.5,3000,2662.86494
27.0,3000,2671.350008
46.5,3000,2679.826536
37.5,3000,2688.302901
3.5,3000,2901.241824
16.5,3000,2909.687589
7.0,3000,2918.137236
