#{"t_start": 1721040892.6825285, "env_id": "None"}
r,l,t
-42.0,1184,17.874811
-87.0,567,23.028367
-76.5,628,82.900925
-44.5,976,91.453608
-56.5,690,97.575445
-34.5,1003,171.267067
-33.5,1050,180.399109
-63.5,1002,243.039077
-88.5,475,247.178983
-47.5,648,306.877022
-37.0,737,313.327883
-64.5,901,321.417919
-13.0,1199,414.024286
-43.5,1021,423.275718
-62.0,1110,485.497753
-53.0,1057,494.990628
-34.0,960,586.664902
-75.5,769,593.303758
-73.5,947,655.334035
-9.0,1523,721.392186
-10.0,1431,733.937937
-28.0,1548,841.479964
-10.5,1408,906.374218
-11.0,1364,918.395475
-5.0,1045,1023.333422
37.0,2136,1094.690404
39.5,1367,1160.412969
-51.5,1190,1170.852572
46.0,1932,1282.218362
-21.5,1257,1347.213941
87.5,1046,1356.570741
22.0,1639,1467.317641
38.0,3000,1547.567098
5.0,1981,1662.400099
85.0,1777,1731.254467
56.0,1860,1800.380378
76.5,2069,1902.263645
100.5,1252,1967.763891
98.0,1938,2039.093802
51.0,2301,2156.831903
66.5,1884,2228.209968
44.5,1805,2328.005779
107.0,2694,2404.177135
96.0,1824,2509.37293
88.5,2133,2581.806532
81.0,2309,2654.885828
107.5,2874,2770.176045
79.5,1251,2835.536363
