#{"t_start": 1721029898.9141822, "env_id": "None"}
r,l,t
-12.5,1223,262.096817
21.0,1636,268.377132
11.0,2571,278.213962
-14.0,2037,286.082044
62.0,1614,292.186132
37.5,3000,556.202089
54.0,3000,567.913043
47.0,3000,579.628153
65.0,3000,591.169846
56.5,3000,602.73646
47.0,3000,973.518807
98.0,1115,977.954011
38.5,3000,989.489698
38.5,3000,1001.028904
48.0,3000,1012.587521
91.0,3000,1282.71062
55.5,3000,1294.39517
46.5,3000,1306.074526
83.0,3000,1317.779045
67.0,3000,1329.493664
98.0,1072,1705.074288
37.0,3000,1716.845152
34.0,3000,1728.585863
38.5,3000,1740.378601
65.0,3000,1752.108044
56.0,3000,2024.780687
38.5,3000,2036.286649
93.5,3000,2047.831238
46.5,3000,2059.344814
73.5,1640,2065.637512
103.0,1568,2437.953252
47.0,3000,2449.337938
57.0,3000,2460.787179
65.0,3000,2472.209989
84.5,3000,2483.664334
54.0,3000,2751.262319
116.0,1768,2758.027696
46.5,3000,2769.511624
100.0,3000,2780.989794
33.5,3000,2792.520895
91.5,3000,3057.441458
36.5,3000,3068.910868
63.0,3000,3080.387637
81.5,1518,3086.190858
87.5,1107,3090.456217
66.5,3000,3478.264588
57.0,3000,3489.908118
64.5,3000,3501.556439
47.0,3000,3513.242499
86.0,1959,3520.84936
75.5,3000,3793.720663
37.5,3000,3805.086389
46.5,3000,3816.490402
74.0,3000,3827.843386
43.5,3000,3839.233303
47.0,3000,4214.334184
27.0,3000,4225.754
46.5,3000,4237.202851
45.0,3000,4248.649572
47.0,3000,4260.105485
66.0,3000,4530.535368
27.0,3000,4542.050335
66.5,3000,4553.603376
47.0,3000,4565.267958
47.0,3000,4576.644742
46.5,3000,4940.362048
85.0,862,4943.644365
38.5,3000,4955.124512
37.5,3000,4966.58895
37.5,3000,4978.077803
83.0,3000,5253.225199
93.5,3000,5264.865362
103.0,3000,5276.559717
37.5,3000,5288.273588
37.5,3000,5299.98668
37.5,3000,5674.831624
52.0,3000,5686.239604
37.5,3000,5697.68322
28.5,3000,5709.110819
37.5,3000,5720.553663
24.5,3000,6000.393008
37.5,3000,6012.046802
55.0,3000,6023.70987
32.5,3000,6035.403336
56.5,3000,6047.087037
111.5,3000,6313.756185
77.5,3000,6325.423592
36.5,3000,6337.098872
72.0,3000,6348.781256
65.0,3000,6360.518381
45.5,3000,6738.888425
60.0,3000,6750.365054
46.5,3000,6761.768961
56.5,3000,6773.180715
54.5,3000,6784.789121
56.0,3000,7055.944174
113.0,3000,7067.392621
73.5,3000,7078.849792
98.5,1147,7083.24866
75.0,3000,7094.7051
55.0,3000,7476.769106
107.5,2031,7484.588203
46.5,3000,7496.142027
96.0,923,7499.730127
64.5,3000,7511.273498
28.0,3000,7775.410315
93.0,3000,7786.827539
87.0,3000,7798.280885
93.5,3000,7809.747834
37.0,3000,7821.208521
75.0,3000,8190.876941
79.5,1323,8195.899373
93.5,3000,8207.337424
46.0,3000,8218.795074
106.0,874,8222.133849
64.0,3000,8493.601959
92.5,3000,8505.018378
55.0,3000,8516.440587
55.0,3000,8527.907326
46.5,3000,8539.350391
113.0,3000,8914.365004
27.0,3000,8925.791652
57.0,3000,8937.209208
112.5,1436,8942.673926
46.5,3000,8954.094065
104.5,3000,9229.887974
80.5,3000,9241.366803
80.5,3000,9252.801859
100.5,3000,9264.28232
28.5,3000,9275.750432
37.5,3000,9549.390933
37.0,3000,9560.889281
27.5,3000,9572.410707
29.0,3000,9583.919173
37.5,3000,9595.438034
66.0,3000,9966.953181
60.5,2451,9976.364927
12.0,3000,9987.854597
48.0,3000,9999.36158
54.0,3000,10010.862462
48.0,3000,10283.487422
27.0,3000,10294.944191
38.5,3000,10306.354534
37.5,3000,10317.78499
37.0,3000,10329.218213
