#{"t_start": 1721029898.9114861, "env_id": "None"}
r,l,t
-78.0,521,5.402993
-68.0,555,10.663872
-33.0,1109,127.257771
-56.0,769,134.321793
-17.0,788,141.658852
-66.5,663,251.935016
-64.0,929,295.276493
23.0,1746,414.012722
45.0,1861,534.529442
92.5,2385,718.011152
86.0,1868,843.49274
98.5,1992,1014.34175
60.5,3000,1148.98235
48.5,3000,1449.341967
89.0,2096,1573.129468
81.0,3000,1764.064328
98.0,2014,1890.2893
81.5,1446,2010.913218
106.5,1812,2187.911128
94.0,1620,2310.559092
92.0,1489,2324.377943
37.5,3000,2613.937109
116.5,1825,2735.072008
93.0,1541,2909.709954
94.0,1606,2925.16974
99.0,1170,3034.974679
100.0,2211,3204.133949
102.0,2277,3339.666279
103.5,2489,3528.070685
67.0,2883,3769.857944
119.0,3000,3960.711364
105.0,1772,4080.004729
115.5,2735,4270.858877
60.5,2366,4505.555541
45.5,2940,4692.426519
100.0,2192,4815.745514
67.0,2011,4984.407307
98.0,2946,5121.38257
68.5,2190,5415.342477
69.5,3000,5545.679174
87.5,1936,5727.497898
79.0,2121,5856.147005
74.0,1710,5984.873554
61.0,1529,6164.710397
58.0,1230,6177.017042
90.5,2285,6298.611884
101.0,3000,6599.59898
77.5,2106,6725.0159
98.5,2090,6910.202462
95.0,2889,7041.875342
111.0,2245,7221.907409
98.5,2102,7351.691305
82.5,1567,7517.052639
120.5,2307,7640.296621
111.0,1286,7756.685093
78.5,3000,7945.489793
94.5,1670,8065.513469
93.5,2562,8235.529365
43.5,2731,8474.674039
95.0,2694,8664.186102
43.5,1833,8784.734893
96.5,1819,8958.963721
76.5,1894,9088.298142
67.5,2032,9213.476731
34.0,1809,9401.112851
82.5,1457,9414.616718
37.0,2169,9536.8673
55.0,1830,9716.140084
73.5,1639,9835.1409
75.0,2711,10020.790767
62.0,1574,10146.383597
63.0,2610,10331.564922
108.5,1954,10458.498253
72.0,1532,10577.323008
