Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./logs/PPO_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 682      |
|    ep_rew_mean     | -30.8    |
| time/              |          |
|    fps             | 108      |
|    iterations      | 1        |
|    time_elapsed    | 18       |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 710          |
|    ep_rew_mean          | -29.3        |
| time/                   |              |
|    fps                  | 36           |
|    iterations           | 2            |
|    time_elapsed         | 111          |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0040924195 |
|    clip_fraction        | 0.0113       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | 0.0165       |
|    learning_rate        | 0.0003       |
|    loss                 | 1.87         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00312     |
|    value_loss           | 6.46         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 671         |
|    ep_rew_mean          | -13.2       |
| time/                   |             |
|    fps                  | 30          |
|    iterations           | 3           |
|    time_elapsed         | 202         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.010210149 |
|    clip_fraction        | 0.0376      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | 0.72        |
|    learning_rate        | 0.0003      |
|    loss                 | 2.34        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00356    |
|    value_loss           | 6.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 680         |
|    ep_rew_mean          | -14         |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 4           |
|    time_elapsed         | 290         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.008907516 |
|    clip_fraction        | 0.0222      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.775       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.2         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00465    |
|    value_loss           | 7.81        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 700         |
|    ep_rew_mean          | -7.54       |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 5           |
|    time_elapsed         | 384         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.011236813 |
|    clip_fraction        | 0.0298      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.774       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.37        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00175    |
|    value_loss           | 9.2         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 715         |
|    ep_rew_mean          | -5.68       |
| time/                   |             |
