
Using cuda device
Logging to ./logs/pong/PPO_6
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 721      |
|    ep_rew_mean     | -74.7    |
| time/              |          |
|    fps             | 1250     |
|    iterations      | 1        |
|    time_elapsed    | 6        |
|    total_timesteps | 8192     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 720          |
|    ep_rew_mean          | -75          |
| time/                   |              |
|    fps                  | 828          |
|    iterations           | 2            |
|    time_elapsed         | 19           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0005449487 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 6.75         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00025     |
|    value_loss           | 14.8         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 743           |
|    ep_rew_mean          | -71.6         |
| time/                   |               |
|    fps                  | 753           |
|    iterations           | 3             |
|    time_elapsed         | 32            |
|    total_timesteps      | 24576         |
| train/                  |               |
|    approx_kl            | 0.00028880118 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.1          |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 4.27          |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.000125     |
|    value_loss           | 14.4          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 758          |
|    ep_rew_mean          | -71          |
| time/                   |              |
|    fps                  | 726          |
|    iterations           | 4            |
|    time_elapsed         | 45           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0009772663 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 6.42         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.000449    |
|    value_loss           | 13.9         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 779           |
|    ep_rew_mean          | -67.9         |
| time/                   |               |
|    fps                  | 707           |
|    iterations           | 5             |
|    time_elapsed         | 57            |
|    total_timesteps      | 40960         |
| train/                  |               |
|    approx_kl            | 3.5038945e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.09         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 5.01          |
|    n_updates            | 40            |
|    policy_gradient_loss | 1.62e-05      |
|    value_loss           | 12.6          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 783          |
|    ep_rew_mean          | -68          |
| time/                   |              |
|    fps                  | 693          |
|    iterations           | 6            |
|    time_elapsed         | 70           |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0003321282 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 8.83         |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.000134    |
|    value_loss           | 13           |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 803          |
|    ep_rew_mean          | -65.5        |
| time/                   |              |
|    fps                  | 684          |
|    iterations           | 7            |
|    time_elapsed         | 83           |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0001302365 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 5.96e-08     |
|    learning_rate        | 0.0003       |
|    loss                 | 6.54         |
|    n_updates            | 60           |
|    policy_gradient_loss | -2.33e-05    |
|    value_loss           | 12.9         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 801           |
|    ep_rew_mean          | -65.7         |
| time/                   |               |
|    fps                  | 681           |
|    iterations           | 8             |
|    time_elapsed         | 96            |
|    total_timesteps      | 65536         |
| train/                  |               |
|    approx_kl            | 0.00030986214 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.09         |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 6.5           |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.000161     |
|    value_loss           | 12.9          |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 806         |
|    ep_rew_mean          | -65.6       |
| time/                   |             |
|    fps                  | 679         |
|    iterations           | 9           |
|    time_elapsed         | 108         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.000905046 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 6.79        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.000359   |
|    value_loss           | 12.9        |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 801           |
|    ep_rew_mean          | -65.6         |
| time/                   |               |
|    fps                  | 677           |
|    iterations           | 10            |
|    time_elapsed         | 120           |
|    total_timesteps      | 81920         |
| train/                  |               |
|    approx_kl            | 0.00016694228 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.09         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 3.55          |
|    n_updates            | 90            |
|    policy_gradient_loss | -5.88e-05     |
|    value_loss           | 12.2          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 810           |
|    ep_rew_mean          | -63.9         |
| time/                   |               |
|    fps                  | 675           |
|    iterations           | 11            |
|    time_elapsed         | 133           |
|    total_timesteps      | 90112         |
| train/                  |               |
|    approx_kl            | 0.00036869154 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.09         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 6             |
|    n_updates            | 100           |
|    policy_gradient_loss | -0.000138     |
|    value_loss           | 14            |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 833          |
|    ep_rew_mean          | -62          |
| time/                   |              |
|    fps                  | 673          |
|    iterations           | 12           |
|    time_elapsed         | 146          |
|    total_timesteps      | 98304        |
| train/                  |              |
|    approx_kl            | 0.0006715014 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 4.88         |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00034     |
|    value_loss           | 12.6         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 841           |
|    ep_rew_mean          | -61.9         |
| time/                   |               |
|    fps                  | 669           |
|    iterations           | 13            |
|    time_elapsed         | 158           |
|    total_timesteps      | 106496        |
| train/                  |               |
|    approx_kl            | 0.00049497373 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.09         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 6.26          |
|    n_updates            | 120           |
|    policy_gradient_loss | -0.000218     |
|    value_loss           | 12            |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 835           |
|    ep_rew_mean          | -60.7         |
| time/                   |               |
|    fps                  | 667           |
|    iterations           | 14            |
|    time_elapsed         | 171           |
|    total_timesteps      | 114688        |
| train/                  |               |
|    approx_kl            | 0.00020029975 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.09         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 3.39          |
|    n_updates            | 130           |
|    policy_gradient_loss | -7.37e-05     |
|    value_loss           | 12.1          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 818          |
|    ep_rew_mean          | -61.6        |
| time/                   |              |
|    fps                  | 665          |
|    iterations           | 15           |
|    time_elapsed         | 184          |
|    total_timesteps      | 122880       |
| train/                  |              |
|    approx_kl            | 0.0007378792 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 9.6          |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.000386    |
|    value_loss           | 13.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 800          |
|    ep_rew_mean          | -62.9        |
| time/                   |              |
|    fps                  | 664          |
|    iterations           | 16           |
|    time_elapsed         | 197          |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0006198947 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 6.57         |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00034     |
|    value_loss           | 13.9         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 799           |
|    ep_rew_mean          | -63.7         |
| time/                   |               |
|    fps                  | 662           |
|    iterations           | 17            |
|    time_elapsed         | 210           |
|    total_timesteps      | 139264        |
| train/                  |               |
|    approx_kl            | 0.00013654488 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.09         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.53          |
|    n_updates            | 160           |
|    policy_gradient_loss | -2.27e-05     |
|    value_loss           | 13.4          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 782          |
|    ep_rew_mean          | -63.6        |
| time/                   |              |
|    fps                  | 662          |
|    iterations           | 18           |
|    time_elapsed         | 222          |
|    total_timesteps      | 147456       |
| train/                  |              |
|    approx_kl            | 0.0016194792 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 5.33         |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.000794    |
|    value_loss           | 11.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 775          |
|    ep_rew_mean          | -63.7        |
| time/                   |              |
|    fps                  | 662          |
|    iterations           | 19           |
|    time_elapsed         | 234          |
|    total_timesteps      | 155648       |
| train/                  |              |
|    approx_kl            | 0.0016820562 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 8.02         |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.000739    |
|    value_loss           | 13.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 772          |
|    ep_rew_mean          | -64.6        |
| time/                   |              |
|    fps                  | 659          |
|    iterations           | 20           |
|    time_elapsed         | 248          |
|    total_timesteps      | 163840       |
| train/                  |              |
