
Using cpu device
-----------------------------
| time/              |      |
|    fps             | 519  |
|    iterations      | 1    |
|    time_elapsed    | 1    |
|    total_timesteps | 1024 |
-----------------------------
-------------------------------------------
| time/                   |               |
|    fps                  | 414           |
|    iterations           | 2             |
|    time_elapsed         | 4             |
|    total_timesteps      | 2048          |
| train/                  |               |
|    approx_kl            | 3.7169142e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    entropy_loss         | -1.1          |
|    explained_variance   | 7.75e-07      |
|    learning_rate        | 0.00025       |
|    loss                 | 7.59          |
|    n_updates            | 4             |
|    policy_gradient_loss | -0.000164     |
|    value_loss           | 15.8          |
-------------------------------------------
------------------------------------------
| time/                   |              |
|    fps                  | 395          |
|    iterations           | 3            |
|    time_elapsed         | 7            |
|    total_timesteps      | 3072         |
| train/                  |              |
|    approx_kl            | 0.0048059355 |
|    clip_fraction        | 0.189        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.1         |
|    explained_variance   | -3.53e-05    |
|    learning_rate        | 0.00025      |
|    loss                 | 8.39         |
|    n_updates            | 8            |
|    policy_gradient_loss | 0.000365     |
|    value_loss           | 16.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 498          |
|    ep_rew_mean          | -88          |
| time/                   |              |
|    fps                  | 381          |
|    iterations           | 4            |
|    time_elapsed         | 10           |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0033156828 |
|    clip_fraction        | 0.0835       |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.09        |
|    explained_variance   | -0.000109    |
|    learning_rate        | 0.00025      |
|    loss                 | 7.89         |
|    n_updates            | 12           |
|    policy_gradient_loss | -0.00191     |
|    value_loss           | 13.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 572          |
|    ep_rew_mean          | -64.7        |
| time/                   |              |
|    fps                  | 356          |
|    iterations           | 5            |
|    time_elapsed         | 14           |
|    total_timesteps      | 5120         |
| train/                  |              |
|    approx_kl            | 0.0009391677 |
|    clip_fraction        | 0            |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 5e-05        |
|    learning_rate        | 0.00025      |
|    loss                 | 6.47         |
|    n_updates            | 16           |
|    policy_gradient_loss | -2.96e-05    |
|    value_loss           | 10.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 650          |
|    ep_rew_mean          | -61.4        |
| time/                   |              |
|    fps                  | 355          |
|    iterations           | 6            |
|    time_elapsed         | 17           |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0013673024 |
|    clip_fraction        | 0.0691       |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.07        |
|    explained_variance   | 5.41e-05     |
|    learning_rate        | 0.00025      |
|    loss                 | 8.7          |
|    n_updates            | 20           |
|    policy_gradient_loss | 0.000687     |
|    value_loss           | 18           |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 674          |
|    ep_rew_mean          | -61.9        |
| time/                   |              |
|    fps                  | 350          |
|    iterations           | 7            |
|    time_elapsed         | 20           |
|    total_timesteps      | 7168         |
| train/                  |              |
|    approx_kl            | 0.0020351182 |
|    clip_fraction        | 0.0193       |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.08        |
|    explained_variance   | 4.98e-05     |
|    learning_rate        | 0.00025      |
|    loss                 | 7.33         |
|    n_updates            | 24           |
|    policy_gradient_loss | -0.00138     |
|    value_loss           | 15.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 674          |
|    ep_rew_mean          | -61.9        |
| time/                   |              |
|    fps                  | 346          |
|    iterations           | 8            |
|    time_elapsed         | 23           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0036191815 |
|    clip_fraction        | 0.163        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 5.35e-05     |
|    learning_rate        | 0.00025      |
|    loss                 | 4.92         |
|    n_updates            | 28           |
|    policy_gradient_loss | 0.00365      |
|    value_loss           | 11.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 670          |
|    ep_rew_mean          | -63.5        |
| time/                   |              |
|    fps                  | 347          |
|    iterations           | 9            |
|    time_elapsed         | 26           |
|    total_timesteps      | 9216         |
| train/                  |              |
|    approx_kl            | 0.0003725484 |
|    clip_fraction        | 0.273        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.07        |
|    explained_variance   | 7.45e-05     |
|    learning_rate        | 0.00025      |
|    loss                 | 4.1          |
|    n_updates            | 32           |
|    policy_gradient_loss | 0.00284      |
|    value_loss           | 10.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 633          |
|    ep_rew_mean          | -68.7        |
| time/                   |              |
|    fps                  | 343          |
|    iterations           | 10           |
|    time_elapsed         | 29           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0031490347 |
|    clip_fraction        | 0.308        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.05        |
|    explained_variance   | -0.000111    |
|    learning_rate        | 0.00025      |
|    loss                 | 7.49         |
|    n_updates            | 36           |
|    policy_gradient_loss | 0.00189      |
|    value_loss           | 14.4         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 640           |
|    ep_rew_mean          | -69.7         |
| time/                   |               |
|    fps                  | 342           |
|    iterations           | 11            |
|    time_elapsed         | 32            |
|    total_timesteps      | 11264         |
| train/                  |               |
|    approx_kl            | 0.00048699614 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    entropy_loss         | -1.06         |
|    explained_variance   | 0.00018       |
|    learning_rate        | 0.00025       |
|    loss                 | 5.92          |
|    n_updates            | 40            |
|    policy_gradient_loss | 5.99e-05      |
|    value_loss           | 12.3          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 640          |
|    ep_rew_mean          | -69.7        |
| time/                   |              |
|    fps                  | 341          |
|    iterations           | 12           |
|    time_elapsed         | 35           |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0030364147 |
|    clip_fraction        | 0.0869       |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.06        |
|    explained_variance   | -0.000266    |
|    learning_rate        | 0.00025      |
|    loss                 | 4.02         |
|    n_updates            | 44           |
|    policy_gradient_loss | 0.00211      |
|    value_loss           | 10.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 637          |
|    ep_rew_mean          | -71.7        |
| time/                   |              |
|    fps                  | 340          |
|    iterations           | 13           |
|    time_elapsed         | 39           |
|    total_timesteps      | 13312        |
| train/                  |              |
|    approx_kl            | 0.0037779333 |
|    clip_fraction        | 0.279        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 2.91e-05     |
|    learning_rate        | 0.00025      |
|    loss                 | 6.05         |
|    n_updates            | 48           |
|    policy_gradient_loss | -0.00298     |
|    value_loss           | 11.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 628          |
|    ep_rew_mean          | -72.6        |
| time/                   |              |
|    fps                  | 342          |
|    iterations           | 14           |
|    time_elapsed         | 41           |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0019114753 |
|    clip_fraction        | 0.233        |
|    clip_range           | 0.1          |
|    entropy_loss         | -1.04        |
|    explained_variance   | 7.51e-05     |
|    learning_rate        | 0.00025      |
|    loss                 | 8.56         |
|    n_updates            | 52           |
|    policy_gradient_loss | -0.000117    |
|    value_loss           | 16           |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 625          |
|    ep_rew_mean          | -71.6        |
| time/                   |              |
|    fps                  | 340          |
|    iterations           | 15           |
|    time_elapsed         | 45           |
|    total_timesteps      | 15360        |
| train/                  |              |
|    approx_kl            | 0.0035136808 |
|    clip_fraction        | 0.108        |
|    clip_range           | 0.1          |
