Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
-----------------------------
| time/              |      |
|    fps             | 225  |
|    iterations      | 1    |
|    time_elapsed    | 9    |
|    total_timesteps | 2048 |
-----------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3e+03      |
|    ep_rew_mean          | -1.5e+03   |
| time/                   |            |
|    fps                  | 62         |
|    iterations           | 2          |
|    time_elapsed         | 65         |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.00629214 |
|    clip_fraction        | 0.0877     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.09      |
|    explained_variance   | -0.033     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0222     |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.00479   |
|    value_loss           | 6.49       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.48e+03   |
| time/                   |             |
|    fps                  | 52          |
|    iterations           | 3           |
|    time_elapsed         | 117         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.012017431 |
|    clip_fraction        | 0.0261      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | -0.00476    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.244       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00052    |
|    value_loss           | 15.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.48e+03   |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 4           |
|    time_elapsed         | 169         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.012117103 |
|    clip_fraction        | 0.0142      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 5.96e-08    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.97        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00062    |
|    value_loss           | 11.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.45e+03   |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 5           |
|    time_elapsed         | 223         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.009622403 |
|    clip_fraction        | 0.033       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 0.732       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00169    |
|    value_loss           | 12.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.39e+03   |
| time/                   |             |
|    fps                  | 44          |
|    iterations           | 6           |
|    time_elapsed         | 275         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.011269048 |
|    clip_fraction        | 0.0379      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.992      |
|    explained_variance   | 1.19e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 12          |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00113    |
|    value_loss           | 21.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.39e+03   |
| time/                   |             |
|    fps                  | 43          |
|    iterations           | 7           |
