Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
-----------------------------
| time/              |      |
|    fps             | 250  |
|    iterations      | 1    |
|    time_elapsed    | 8    |
|    total_timesteps | 2048 |
-----------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.5e+03    |
| time/                   |             |
|    fps                  | 78          |
|    iterations           | 2           |
|    time_elapsed         | 52          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.011256201 |
|    clip_fraction        | 0.0421      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | -0.0076     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0128      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00119    |
|    value_loss           | 6.51        |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 3e+03         |
|    ep_rew_mean          | -1.5e+03      |
| time/                   |               |
|    fps                  | 59            |
|    iterations           | 3             |
|    time_elapsed         | 103           |
|    total_timesteps      | 6144          |
| train/                  |               |
|    approx_kl            | 0.00069144944 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.09         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.15          |
|    n_updates            | 20            |
|    policy_gradient_loss | 0.000137      |
|    value_loss           | 15            |
-------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3e+03      |
|    ep_rew_mean          | -1.5e+03   |
| time/                   |            |
|    fps                  | 55         |
|    iterations           | 4          |
|    time_elapsed         | 147        |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.00600166 |
|    clip_fraction        | 0          |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.08      |
|    explained_variance   | -1.19e-07  |
|    learning_rate        | 0.0003     |
|    loss                 | 3.51       |
|    n_updates            | 30         |
|    policy_gradient_loss | 0.000532   |
|    value_loss           | 11.1       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.49e+03   |
| time/                   |             |
|    fps                  | 52          |
|    iterations           | 5           |
|    time_elapsed         | 196         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.008506022 |
|    clip_fraction        | 0.0156      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 1.79e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00646     |
|    n_updates            | 40          |
|    policy_gradient_loss | 2.51e-05    |
|    value_loss           | 6.5         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.46e+03   |
| time/                   |             |
|    fps                  | 47          |
