Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
-----------------------------
| time/              |      |
|    fps             | 219  |
|    iterations      | 1    |
|    time_elapsed    | 9    |
|    total_timesteps | 2048 |
-----------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.5e+03    |
| time/                   |             |
|    fps                  | 52          |
|    iterations           | 2           |
|    time_elapsed         | 78          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.010199811 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | -0.0668     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00127     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00682    |
|    value_loss           | 6.51        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.48e+03   |
| time/                   |             |
|    fps                  | 43          |
|    iterations           | 3           |
|    time_elapsed         | 141         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.008971511 |
|    clip_fraction        | 0.00415     |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | 0.00731     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.7         |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.000554   |
|    value_loss           | 15          |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 3e+03        |
|    ep_rew_mean          | -1.48e+03    |
| time/                   |              |
|    fps                  | 41           |
|    iterations           | 4            |
|    time_elapsed         | 196          |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0114728585 |
|    clip_fraction        | 0.0236       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.04        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 0.618        |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.000848    |
|    value_loss           | 12.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -1.46e+03   |
| time/                   |             |
|    fps                  | 37          |
|    iterations           | 5           |
|    time_elapsed         | 272         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.009120821 |
|    clip_fraction        | 0.0527      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.992      |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 7.05        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00167    |
|    value_loss           | 12.2        |
-----------------------------------------
