Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1e+03    |
|    ep_rew_mean     | -480     |
| time/              |          |
|    fps             | 296      |
|    iterations      | 1        |
|    time_elapsed    | 6        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -465        |
| time/                   |             |
|    fps                  | 115         |
|    iterations           | 2           |
|    time_elapsed         | 35          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.012286377 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | -0.0105     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.123       |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00518    |
|    value_loss           | 7.14        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -457         |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 3            |
|    time_elapsed         | 64           |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0061034197 |
|    clip_fraction        | 0.0218       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.08        |
|    explained_variance   | 0.0435       |
|    learning_rate        | 0.0003       |
|    loss                 | 2.98         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.000566    |
|    value_loss           | 16           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -435        |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 4           |
|    time_elapsed         | 96          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.014004322 |
|    clip_fraction        | 0.0329      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.304       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.04        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0023     |
|    value_loss           | 12.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -402        |
| time/                   |             |
|    fps                  | 80          |
|    iterations           | 5           |
|    time_elapsed         | 126         |
|    total_timesteps      | 10240       |
| train/                  |             |
