Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1e+03    |
|    ep_rew_mean     | -490     |
| time/              |          |
|    fps             | 297      |
|    iterations      | 1        |
|    time_elapsed    | 6        |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -480         |
| time/                   |              |
|    fps                  | 90           |
|    iterations           | 2            |
|    time_elapsed         | 45           |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0056899427 |
|    clip_fraction        | 0.0344       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | 0.0138       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.246        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00122     |
|    value_loss           | 6.94         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -460         |
| time/                   |              |
|    fps                  | 77           |
|    iterations           | 3            |
|    time_elapsed         | 78           |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0053880406 |
|    clip_fraction        | 0.026        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.08        |
|    explained_variance   | 0.0823       |
|    learning_rate        | 0.0003       |
|    loss                 | 2.09         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00338     |
|    value_loss           | 15.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -430        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 4           |
|    time_elapsed         | 108         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.009519134 |
|    clip_fraction        | 0.0578      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.257       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.04        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00933    |
|    value_loss           | 15.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -398        |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 5           |
|    time_elapsed         | 137         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.018030185 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.959      |
|    explained_variance   | 0.6         |
|    learning_rate        | 0.0003      |
|    loss                 | 5.36        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0184     |
|    value_loss           | 8.58        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -360       |
| time/                   |            |
|    fps                  | 73         |
|    iterations           | 6          |
|    time_elapsed         | 168        |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.01847433 |
|    clip_fraction        | 0.184      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.857     |
|    explained_variance   | 0.703      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.64       |
|    n_updates            | 50         |
|    policy_gradient_loss | -0.0148    |
|    value_loss           | 6.47       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -330        |
| time/                   |             |
|    fps                  | 72          |
|    iterations           | 7           |
|    time_elapsed         | 197         |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.014963724 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.733      |
|    explained_variance   | 0.753       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.68        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.014      |
|    value_loss           | 6.44        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -296        |
| time/                   |             |
|    fps                  | 71          |
|    iterations           | 8           |
|    time_elapsed         | 230         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.014812982 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.607      |
|    explained_variance   | 0.737       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.83        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0103     |
|    value_loss           | 4.57        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -266         |
| time/                   |              |
|    fps                  | 70           |
|    iterations           | 9            |
|    time_elapsed         | 263          |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0083992975 |
|    clip_fraction        | 0.0962       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.495       |
|    explained_variance   | 0.839        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.533        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.0104      |
|    value_loss           | 2.32         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -242         |
| time/                   |              |
|    fps                  | 69           |
|    iterations           | 10           |
|    time_elapsed         | 295          |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0033454706 |
|    clip_fraction        | 0.036        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.386       |
|    explained_variance   | 0.805        |
|    learning_rate        | 0.0003       |
